Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15
Etelvino Lins,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Ponte do Pina,Cordeiro de Fárias,Agamenon Magalhães,Democrito de Souza Filho,Nilo Coelho,Ponte Motocolombo,,,,,,,,,
Euclides da Cunha,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Praça Euclides da Cunha,,,,,,,,,,,,,,
Eugenio Coimbra Junior,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Savoy,,,,,,,,,,,,,,
Fábrica Tacaruna,Local,Museu,Santo Amaro,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Delmiro Gouveia,Avenida Agamenon Magalhães,,,,,,,,,,,,,
Faculdade de Medicina,Local,Faculdade,Derby,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",UFPE,Bezerra Coutinho,,,,,,,,,,,,,
Favela do Bode,Local,Bairro,Pina,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Maracatu Porto Rico,Avenida Herculano Bandeira,Rio Mar Shopping,,,,,,,,,,,,
Felipe Camarão,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Igreja da Varzea,Cruzeiro do Forte,Invasão Holandesa,,,,,,,,,,,,
Felix de Brito,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Revolução Praieira,Rua Félix de Brito e Melo,,,,,,,,,,,,,
Fernandes Vieira,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Invasão Holandesa,Cruzeiro do Forte,Forte das Cinco Pontas,Batalha do Monte das Tabocas,,,,,,,,,,,
Fortaleza do Buraco,Local,Forte,Recife Antigo,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Porto do Recife,Cais da Lingueta,,,,,,,,,,,,,
Forte das Cinco Pontas,Local,Forte,São José,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Frei Caneca,João Gabriel,Confederação do Equador,Invasão Holandesa,Fernandes Vieira,Barreto de Menezes,Forte do Brum,Monumento a Frei Caneca,,,,,,,
Forte do Brum,Local,Forte,Recife Antigo,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Forte das Cinco Pontas,Invasão Holandesa,Caetano Pinto,Estação do Brum,,,,,,,,,,,
Forum Paula Batista,Local,Instituição,Santo Antonio,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Rua do Imperador,Fórum Thomaz de Aquino,Praça da República,Palácio da Justiça,,,,,,,,,,,
Fórum Thomaz de Aquino,Local,Instituição,São José,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Rua do Imperador,Palácio da Justiça,Praça Dezessete,Forum Paula Batista,Praça da República,Fórum Thomaz de Aquino,,,,,,,,,
Barreto de Menezes,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Invasão Holandesa,,,,,,,,,,,,,,
Francisco Brennand,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Oficina Brennand,Instituto Ricardo Brennand,Marco Zero,Parque das Esculturas,,,,,,,,,,,
Francisco do Rego Barros,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Ponte Mauricio de Nassau,Palácio do Campo das Princesas,Teatro Santa Isabel,Biblioteca Pública do Estado de Pernambuco,Cemitério de Santo Amaro,Avenida Conde da Boa Vista,,,,,,,,,
Francisco Pessoa de Queiroz,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",João Pessoa de Queiroz,José Pessoa de Queiroz,Revolução de 30,João Pessoa,,,,,,,,,,,
Frascisco Paes Barreto,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Revolução de 1817,Confederação do Equador,,,,,,,,,,,,,
Frei Caneca,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Arsenal da Marinha,Arsenal da Marinha,Confederação do Equador,Forte das Cinco Pontas,Praça do Carmo,Monumento a Frei Caneca,,,,,,,,,
Frei Damião de Bonzano,Personagem,,,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Igreja dos Capuchios,,,,,,,,,,,,,,
Fundação Joaquim Nabuco,Local,Museu,Apipucos,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Gilberto Freyre,Mario Souto Maior,Manuel Correia de Andrade,Nilo Pereira,Rua Henrique Dias,,,,,,,,,,
Gabinete Português de Leitura,Local,Museu,Santo Antonio,https://i.pinimg.com/originals/2c/05/7a/2c057a3dec97f63bd9999b4bf0b7c516.jpg,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Rua do Imperador,Arquivo Publico,,,,,,,,,,,,,
Gago Coutinho,Personagem,,,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Praça Dezessete,Monumento aos aviadores portugueses,Gago Coutinho,Sacadura Cabral,Cais de Santa Rita,,,,,,,,,,
Galo da Madrugada,Local,Clube de Carnaval,São José,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Praça Sergio Loreto,Enéas Alves Freire,Madeiras do Rosarinho,,,,,,,,,,,,
Gervásio Pires,Personagem,,,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Rua Gervásio Pires,Convenção de Beberibe,Cruz Cabugá,Revolução de 1817,Luis Rego,Pedro da Silva Pedroso,Palácio da Justiça,,,,,,,,
Gilberto Freyre,Personagem,,,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Museu do Homem do Nordeste,Fundação Joaquim Nabuco,Mario Souto Maior,Estácio Coimbra,Fundação Joaquim Nabuco,Diario de Pernambuco,Democrito de Souza Filho,,,,,,,,
Gregório Bezerra,Personagem,,,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Casa da Cultura,Intentona Comunista,,,,,,,,,,,,,
Guerra dos Mascates,Fato Histórico,Batalha,,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Avenida Marques de Olinda,Marco Zero,Sebastião de Castro Caldas,,,,,,,,,,,,
HEMOPE,Local,Hospital,Derby,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Rua Joaquim Nabuco,Hospital da Restauração,Rua Joaquim Nabuco,,,,,,,,,,,,
Henrique Dias,Personagem,,,http://www.ywamhaiti.org/wp-content/uploads/dancesilohette.gif,"In odio turpis, dictum vitae tellus et, bibendum commodo lorem. Phasellus porttitor laoreet ipsum, et ultricies velit semper in. Donec mollis dolor enim. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent eget bibendum orci. Curabitur et placerat sem. Vivamus tempor sed sapien in viverra. Suspendisse potenti. Maecenas laoreet justo ut est sodales accumsan.",Rua Henrique Dias,Sitio da Trindade,Convento de Santo Antonio,,,,,,,,,,,,
